ticker,sector,composite_z,composite_rank,composite_pct,ai_score,ai_rated_at,value_quality_score,value_rank,growth_score,growth_rank,exclusion_reason
TNGX,Health Care,-0.5671,2238,9.29,58.0,2026-08-12T22:37:27.975778+00:00,,,2.671,23,
TNK,Industrials,0.1138,990,59.89,,,,,,,
TNL,Consumer Discretionary,0.0011,1317,46.63,,,,,,,
TNXP,Health Care,-1.3442,2444,0.93,,,,,,,
TOI,Health Care,,,,,,,,,,new_issue
TOL,Industrials,-0.1757,1787,27.58,,,,,,,
TOST,Information Technology,0.1219,973,60.58,,,,,,,
TPB,Consumer Staples,-0.2611,1934,21.61,,,,,,,
TPC,Industrials,0.3224,476,80.74,,,,,,,
TPG,Financials,0.0686,1124,54.46,,,,,,,
TPL,Financials,-0.1537,1735,29.68,,,,,,,
TPR,Consumer Discretionary,0.9678,44,98.26,69.0,2026-08-25T22:36:38.808997+00:00,0.9634,21,1.0434,88,
TR,Consumer Staples,-0.4736,2161,12.41,,,,,,,
TRAX,Health Care,,,,,,,,,,new_issue
TREE,Financials,-0.0966,1600,35.16,,,,,,,
TREX,Materials,-0.041,1450,41.24,,,,,,,
TRGP,Utilities,0.452,292,88.2,,,,,,,
TRI,Communication Services,-1.1813,2431,1.46,,,,,,,
TRIN,,-0.5571,2233,9.49,,,,,,,
TRIP,Information Technology,-0.1395,1704,30.94,,,,,,,
TRLV,Health Care,0.0651,1134,54.06,,,,,,,
TRMB,Health Care,-0.2137,1853,24.9,,,,,,,
TRMD,Industrials,0.464,277,88.81,,,,,,,
TRMK,Financials,0.0995,1033,58.15,,,,,,,
TRN,Industrials,0.432,311,87.43,,,,,,,
TRNO,Real Estate,-0.277,1959,20.6,,,,,,,
TRNS,Industrials,-0.302,1987,19.46,,,,,,,
TROW,Financials,0.223,691,72.02,,,,,,,
TROX,Materials,-0.7063,2311,6.33,,,,,,,
TRP,Utilities,0.1492,879,64.4,,,,,,,
TRS,Industrials,-0.1738,1783,27.74,,,,,,,
TRST,Financials,0.1891,784,68.25,,,,,,,
TRTX,Real Estate,-0.0338,1432,41.97,,,,,,,
TRU,,0.0835,1079,56.29,,,,,,,
TRUP,Financials,-0.2528,1925,21.98,,,,,,,
TRV,Financials,0.3864,362,85.36,,,,,,,
TRVI,Health Care,-0.2885,1977,19.87,,,,,,,
TSAT,Communication Services,1.0286,32,98.74,,,,,,,
TSCO,Consumer Discretionary,-0.1104,1637,33.66,,,,,,,
TSEM,Information Technology,0.6347,137,94.48,,,,,,,
TSHA,Health Care,-0.3669,2073,15.98,,,,,,,
TSLA,Consumer Discretionary,-0.1034,1619,34.39,,,,,,,
TSLX,,-0.3156,2007,18.65,,,,,,,
TSM,Information Technology,0.7766,79,96.84,,,,,,,
TSN,Consumer Staples,-0.0117,1366,44.65,,,,,,,
TSSI,Industrials,-0.5757,2242,9.12,,,,,,,
TT,Industrials,0.1142,989,59.94,,,,,,,
TTC,Industrials,0.2879,542,78.06,,,,,,,
TTD,Information Technology,-0.1659,1764,28.51,,,,,,,
TTE,Energy,0.3377,448,81.87,,,,,,,
TTEK,Industrials,-0.1974,1823,26.12,,,,,,,
TTI,Energy,0.0216,1257,49.07,,,,,,,
TTMI,Information Technology,0.6315,138,94.44,,,,,,,
TTWO,Information Technology,-0.0709,1529,38.04,,,,,,,
TU,Communication Services,-1.0099,2400,2.72,,,,,,,
TVTX,Health Care,-0.0278,1420,42.46,,,,,,,
TW,Financials,0.0861,1072,56.57,,,,,,,
TWLO,Information Technology,0.4722,266,89.25,,,,,,,
TWST,Health Care,0.3895,359,85.48,,,,,,,
TXG,Health Care,0.6612,127,94.89,,,,,,,
TXN,Information Technology,0.3913,355,85.64,,,,,,,
TXNM,Utilities,-0.1294,1679,31.95,,,,,,,
TXRH,Consumer Discretionary,0.1535,867,64.88,,,,,,,
TXT,Industrials,-0.0181,1385,43.88,,,,,,,
TYG,,-0.2663,1944,21.21,,,,,,,
TYL,Information Technology,0.0398,1207,51.09,,,,,,,
TYRA,Health Care,-0.3138,2005,18.73,,,,,,,
U,Information Technology,0.0393,1208,51.05,,,,,,,
UAA,Consumer Discretionary,0.1102,1005,59.29,,,,,,,
UAL,Industrials,0.0895,1065,56.85,,,,,,,
UBER,,-0.026,1414,42.7,,,,,,,
UBS,Financials,0.1675,838,66.06,,,,,,,
UBSI,Financials,0.1352,928,62.41,,,,,,,
UCB,Financials,0.2984,516,79.12,,,,,,,
UCTT,Information Technology,0.5953,160,93.55,,,,,,,
UDR,Real Estate,0.1123,997,59.61,,,,,,,
UE,Real Estate,0.0551,1157,53.12,,,,,,,
UEC,Materials,-0.7635,2335,5.35,,,,,,,
UFCS,Financials,0.3304,462,81.31,,,,,,,
UFPI,Materials,-0.2618,1936,21.53,,,,,,,
UFPT,Health Care,0.1473,885,64.15,,,,,,,
UGI,Utilities,0.0425,1197,51.5,,,,,,,
UHAL,,0.1635,844,65.82,,,,,,,
UHAL-B,,0.1683,835,66.18,,,,,,,
UHS,Health Care,0.0013,1316,46.67,,,,,,,
UI,Information Technology,-0.0277,1419,42.5,,,,,,,
ULCC,Industrials,-1.6238,2457,0.41,,,,,,,
ULS,Industrials,0.5694,184,92.58,,,,,,,
ULTA,Consumer Discretionary,0.2908,531,78.51,,,,,,,
UMAC,Information Technology,-1.0148,2402,2.64,,,,,,,
UMBF,Financials,0.1406,906,63.3,,,,,,,
UMC,Information Technology,2.7734,2,99.96,,,,,,,
UMH,Real Estate,-0.1091,1632,33.86,,,,,,,
UNCY,Health Care,-1.0737,2415,2.11,,,,,,,
UNF,Consumer Discretionary,-0.1797,1797,27.17,,,,,,,
UNFI,Industrials,0.3502,424,82.85,,,,,,,
UNH,Financials,0.2722,571,76.89,,,,,,,
UNIT,Communication Services,0.7648,84,96.63,46.0,2026-08-10T22:37:41.672900+00:00,1.3747,8,,,
UNM,Financials,-0.0771,1546,37.35,,,,,,,
UNP,Industrials,0.3602,407,83.54,,,,,,,
UPBD,,0.1983,761,69.18,,,,,,,
UPS,Industrials,-0.0374,1438,41.73,,,,,,,
